日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(土),176,13,54,109,0,0,7.4,38.1
2日(日),0,0,0,0,0,0,0,0
3日(月),286,46,88,152,0,0,16.1,46.9
4日(火),162,21,51,90,0,0,13.0,44.4
5日(水),184,30,43,111,0,0,16.3,39.7
6日(木),0,0,0,0,0,0,0,0
7日(金),240,37,68,135,0,0,15.4,43.8
8日(土),176,22,43,111,0,0,12.5,36.9
9日(日),0,0,0,0,0,0,0,0
10日(月),252,50,66,136,0,0,19.8,46.0
11日(火),151,23,38,90,0,0,15.2,40.4
12日(水),179,44,37,98,0,0,24.6,45.3
13日(木),0,0,0,0,0,0,0,0
14日(金),213,38,43,132,0,0,17.8,38.0
15日(土),152,14,32,106,0,0,9.2,30.3
16日(日),0,0,0,0,0,0,0,0
17日(月),197,30,55,112,0,0,15.2,43.1
18日(火),137,18,30,89,0,0,13.1,35.0
19日(水),165,21,39,105,0,0,12.7,36.4
20日(木),0,0,0,0,0,0,0,0
21日(金),201,36,32,133,0,0,17.9,33.8
22日(土),144,19,42,83,0,0,13.2,42.4
23日(日),0,0,0,0,0,0,0,0
24日(月),183,18,49,116,0,0,9.8,36.6
25日(火),147,27,33,87,0,0,18.4,40.8
26日(水),159,23,37,99,0,0,14.5,37.7
27日(木),0,0,0,0,0,0,0,0
28日(金),168,27,45,96,0,0,16.1,42.9
29日(土),140,27,25,88,0,0,19.3,37.1
30日(日),0,0,0,0,0,0,0,0
総数,3812,584,950,2278,0,0,15.3,40.2
平均,181.5,27.8,45.2,108.5,0.0,0.0,15.3,40.2
前月,4301,784,1067,2450,0,0,18.2,43.0
前月比,88.6,74.5,89.0,93.0,0.0,0.0,84.0,93.5
前年同月,3598,775,738,2085,0,0,21.5,42.1
前年同月比,105.9,75.4,128.7,109.3,0.0,0.0,71.1,95.7
