日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(木),0,0,0,0,0,0,0
2日(金),0,0,0,0,0,0,0
3日(土),0,0,0,0,0,0,0
4日(日),0,0,0,0,0,0,0
5日(月),0,0,0,0,0,0,0
6日(火),0,0,0,0,0,0,0
7日(水),296,167462,566,1674720,281050,1393570,100
8日(木),0,0,0,0,0,0,0
9日(金),0,0,0,0,0,0,0
10日(土),426,217478,511,2176880,315930,1839220,21730
11日(日),0,0,0,0,0,0,0
12日(月),270,147944,548,1479640,239710,1235170,4760
13日(火),152,86045,566,863450,155500,704950,3000
14日(水),210,110718,527,1112480,165160,932930,14390
15日(木),0,0,0,0,0,0,0
16日(金),178,103873,584,1038830,170100,868630,100
17日(土),189,101995,540,1019950,148540,861970,9440
18日(日),0,0,0,0,0,0,0
19日(月),258,156417,606,1565270,265260,1292530,7480
20日(火),150,84823,565,848230,127620,720610,0
21日(水),234,129903,555,1301030,208980,1082900,9150
22日(木),0,0,0,0,0,0,0
23日(金),166,83314,502,834240,137090,709700,-12550
24日(土),204,110832,543,1108320,149860,965890,-7430
25日(日),0,0,0,0,0,0,0
26日(月),267,150909,565,1509190,207820,1301270,100
27日(火),162,91084,562,911040,170150,757280,-16390
28日(水),196,111401,568,1114010,216700,888010,9300
29日(木),0,0,0,0,0,0,0
30日(金),157,93864,598,938740,142040,792940,3760
31日(土),170,96692,569,967120,143160,832550,-8590
総数,3685,2044754,555,20463140,3244670,17180120,38350
平均,216.8,120279.6,32.6,1203714.1,190862.9,1010595.3,2255.9
前月,4137,2156328,521,21577980,3317380,18167970,92630
前月比,89.1,94.8,106.5,94.8,97.8,94.6,41.4
前年同月,4301,2129063,495,21346750,2994840,18276720,75190
前年同月比,85.7,96.0,112.1,95.9,108.3,94.0,51.0
