日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(水),146,18,40,88,0,0,12.3,39.7
2日(木),0,0,0,0,0,0,0,0
3日(金),162,25,43,94,0,0,15.4,42.0
4日(土),153,21,56,76,0,0,13.7,50.3
5日(日),0,0,0,0,0,0,0,0
6日(月),192,20,69,103,0,0,10.4,46.4
7日(火),141,23,33,85,0,0,16.3,39.7
8日(水),167,28,41,98,0,0,16.8,41.3
9日(木),0,0,0,0,0,0,0,0
10日(金),191,21,57,113,0,0,11.0,40.8
11日(土),123,19,33,71,0,0,15.4,42.3
12日(日),0,0,0,0,0,0,0,0
13日(月),214,19,75,120,0,0,8.9,43.9
14日(火),154,12,47,95,0,0,7.8,38.3
15日(水),158,11,42,105,0,0,7.0,33.5
16日(木),0,0,0,0,0,0,0,0
17日(金),228,27,50,151,0,0,11.8,33.8
18日(土),183,21,43,119,0,0,11.5,35.0
19日(日),0,0,0,0,0,0,0,0
20日(月),0,0,0,0,0,0,0,0
21日(火),225,31,56,138,0,0,13.8,38.7
22日(水),162,15,45,102,0,0,9.3,37.0
23日(木),0,0,0,0,0,0,0,0
24日(金),201,24,58,119,0,0,11.9,40.8
25日(土),149,21,38,90,0,0,14.1,39.6
26日(日),0,0,0,0,0,0,0,0
27日(月),207,22,62,123,0,0,10.6,40.6
28日(火),146,22,41,83,0,0,15.1,43.2
29日(水),175,11,54,110,0,0,6.3,37.1
30日(木),0,0,0,0,0,0,0,0
31日(金),182,28,43,111,0,0,15.4,39.0
総数,3659,439,1026,2194,0,0,12.0,40.0
平均,174.2,20.9,48.9,104.5,0.0,0.0,12.0,40.0
前月,3759,487,1044,2228,0,0,13.0,40.7
前月比,97.3,90.1,98.3,98.5,0.0,0.0,92.6,98.3
前年同月,3460,522,1075,1863,0,0,15.1,46.2
前年同月比,105.8,84.1,95.4,117.8,0.0,0.0,79.5,86.7
