日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(月),151,16,39,96,0,0,10.6,36.4
2日(火),179,20,66,93,0,0,11.2,48.0
3日(水),147,20,50,77,0,0,13.6,47.6
4日(木),0,0,0,0,0,0,0,0
5日(金),175,20,53,102,0,0,11.4,41.7
6日(土),121,15,33,73,0,0,12.4,39.7
7日(日),0,0,0,0,0,0,0,0
8日(月),232,24,71,137,0,0,10.3,40.9
9日(火),159,26,42,91,0,0,16.4,42.8
10日(水),160,22,55,83,0,0,13.8,48.1
11日(木),0,0,0,0,0,0,0,0
12日(金),197,18,71,108,0,0,9.1,45.2
13日(土),162,22,41,99,0,0,13.6,38.9
14日(日),0,0,0,0,0,0,0,0
15日(月),198,32,52,114,0,0,16.2,42.4
16日(火),157,25,42,90,0,0,15.9,42.7
17日(水),157,30,34,93,0,0,19.1,40.8
18日(木),0,0,0,0,0,0,0,0
19日(金),178,30,46,102,0,0,16.9,42.7
20日(土),156,15,37,104,0,0,9.6,33.3
21日(日),0,0,0,0,0,0,0,0
22日(月),193,29,41,123,0,0,15.0,36.3
23日(火),158,23,37,98,0,0,14.6,38.0
24日(水),157,16,53,88,0,0,10.2,43.9
25日(木),0,0,0,0,0,0,0,0
26日(金),182,20,49,113,0,0,11.0,37.9
27日(土),151,20,40,91,0,0,13.2,39.7
28日(日),0,0,0,0,0,0,0,0
29日(月),219,22,53,144,0,0,10.0,34.2
30日(火),170,22,39,109,0,0,12.9,35.9
総数,3759,487,1044,2228,0,0,13.0,40.7
平均,170.9,22.1,47.5,101.3,0.0,0.0,13.0,40.7
前月,3991,509,1115,2367,0,0,12.8,40.7
前月比,94.2,95.7,93.6,94.1,0.0,0.0,101.6,100.1
前年同月,3640,531,1060,2049,0,0,14.6,43.7
前年同月比,103.3,91.7,98.5,108.7,0.0,0.0,88.8,93.2
