日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(金),178,87550,492,933100,116640,758860,57600
2日(土),211,87623,415,985530,136870,721310,127350
3日(日),0,0,0,0,0,0,0
4日(月),207,116465,563,1223650,163860,996340,63450
5日(火),197,97211,493,1065910,143560,825250,97100
6日(水),209,98917,473,1059770,126810,857970,74990
7日(木),0,0,0,0,0,0,0
8日(金),198,92594,468,982440,123940,806450,52050
9日(土),173,82703,478,939030,96290,730740,112000
10日(日),0,0,0,0,0,0,0
11日(月),199,106677,536,1143870,125870,944200,73800
12日(火),187,88427,473,952370,142320,746340,63710
13日(水),205,86079,420,948690,104700,756090,87900
14日(木),0,0,0,0,0,0,0
15日(金),201,101605,505,1062850,154477,861573,46800
16日(土),187,96242,515,1064520,159040,803380,102100
17日(日),0,0,0,0,0,0,0
18日(月),182,94451,519,994710,143680,800830,50200
19日(火),152,84149,554,873590,125950,704410,43230
20日(水),182,91211,501,960710,111240,812000,37470
21日(木),0,0,0,0,0,0,0
22日(金),186,88561,476,926810,138560,747050,41200
23日(土),188,88553,471,966630,114340,771190,81100
24日(日),0,0,0,0,0,0,0
25日(月),222,113503,511,1141530,159054,975976,6500
26日(火),234,120385,514,1208350,175580,1028270,4500
27日(水),95,47955,505,479550,55150,424400,0
28日(木),0,0,0,0,0,0,0
29日(金),0,0,0,0,0,0,0
30日(土),0,0,0,0,0,0,0
31日(日),0,0,0,0,0,0,0
総数,3793,1870861,493,19913610,2617931,16072629,1223050
平均,189.7,93543.1,24.7,995680.5,130896.6,803631.4,61152.5
前月,3901,1820029,467,19970890,2495150,15694200,1781540
前月比,97.2,102.8,105.7,99.7,104.9,102.4,68.7
前年同月,3461,2071061,598,22014306,2095070,18633980,1285256
前年同月比,109.6,90.3,82.4,90.5,125.0,86.3,95.2
