日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(水),168,31,55,82,0,0,18.5,51.2
2日(木),0,0,0,0,0,0,0,0
3日(金),203,27,75,101,0,0,13.3,50.2
4日(土),174,15,66,93,0,0,8.6,46.6
5日(日),0,0,0,0,0,0,0,0
6日(月),243,26,89,128,0,0,10.7,47.3
7日(火),168,24,61,83,0,0,14.3,50.6
8日(水),168,17,61,90,0,0,10.1,46.4
9日(木),0,0,0,0,0,0,0,0
10日(金),224,29,70,125,0,0,12.9,44.2
11日(土),182,19,76,87,0,0,10.4,52.2
12日(日),0,0,0,0,0,0,0,0
13日(月),0,0,0,0,0,0,0,0
14日(火),231,26,80,125,0,0,11.3,45.9
15日(水),179,31,47,101,0,0,17.3,43.6
16日(木),0,0,0,0,0,0,0,0
17日(金),237,17,79,141,0,0,7.2,40.5
18日(土),179,12,62,105,0,0,6.7,41.3
19日(日),0,0,0,0,0,0,0,0
20日(月),232,25,85,122,0,0,10.8,47.4
21日(火),147,28,44,75,0,0,19.0,49.0
22日(水),194,25,57,112,0,0,12.9,42.3
23日(木),0,0,0,0,0,0,0,0
24日(金),263,33,85,145,0,0,12.5,44.9
25日(土),184,11,78,95,0,0,6.0,48.4
26日(日),0,0,0,0,0,0,0,0
27日(月),290,29,96,165,0,0,10.0,43.1
28日(火),152,17,60,75,0,0,11.2,50.7
29日(水),202,28,78,96,0,0,13.9,52.5
30日(木),0,0,0,0,0,0,0,0
31日(金),278,17,98,163,0,0,6.1,41.4
総数,4298,487,1502,2309,0,0,11.3,46.3
平均,204.7,23.2,71.5,110.0,0.0,0.0,11.3,46.3
前月,3591,479,1166,1946,0,0,13.3,45.8
前月比,119.7,101.7,128.8,118.7,0.0,0.0,84.9,101.0
前年同月,4300,558,1285,2457,0,0,13.0,42.9
前年同月比,100.0,87.3,116.9,94.0,0.0,0.0,87.3,108.0
