日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(月),124,70,10,44,0,0,56.5,64.5
2日(火),104,48,7,49,0,0,46.2,52.9
3日(水),0,0,0,0,0,0,0,0
4日(木),0,0,0,0,0,0,0,0
5日(金),144,91,10,43,0,0,63.2,70.1
6日(土),115,51,18,46,0,0,44.3,60.0
7日(日),0,0,0,0,0,0,0,0
8日(月),138,68,17,53,0,0,49.3,61.6
9日(火),79,43,6,30,0,0,54.4,62.0
10日(水),105,43,29,33,0,0,41.0,68.6
11日(木),0,0,0,0,0,0,0,0
12日(金),125,68,8,49,0,0,54.4,60.8
13日(土),108,41,32,35,0,0,38.0,67.6
14日(日),0,0,0,0,0,0,0,0
15日(月),123,44,32,47,0,0,35.8,61.8
16日(火),112,48,18,46,0,0,42.9,58.9
17日(水),116,46,17,53,0,0,39.7,54.3
18日(木),0,0,0,0,0,0,0,0
19日(金),135,51,16,68,0,0,37.8,49.6
20日(土),115,45,27,43,0,0,39.1,62.6
21日(日),0,0,0,0,0,0,0,0
22日(月),122,64,12,46,0,0,52.5,62.3
23日(火),0,0,0,0,0,0,0,0
24日(水),137,68,17,52,0,0,49.6,62.0
25日(木),0,0,0,0,0,0,0,0
26日(金),109,42,13,54,0,0,38.5,50.5
27日(土),97,25,17,55,0,0,25.8,43.3
28日(日),0,0,0,0,0,0,0,0
29日(月),124,54,12,58,0,0,43.5,53.2
30日(火),92,36,10,46,0,0,39.1,50.0
総数,2324,1046,328,950,0,0,45.0,59.1
平均,116.2,52.3,16.4,47.5,0.0,0.0,45.0,59.1
前月,1481,919,172,390,0,0,62.1,73.7
前月比,156.9,113.8,190.7,243.6,0.0,0.0,72.5,80.3
前年同月,0,0,0,0,0,0,0.0,0.0
前年同月比,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
