日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(日),0,0,0,0,0,0,0
2日(月),324,156412,483,1665820,247350,1316770,101700
3日(火),175,94432,540,944420,122590,802630,19200
4日(水),252,122885,488,1279850,156870,1071980,51000
5日(木),0,0,0,0,0,0,0
6日(金),276,138825,503,1474050,223370,1164880,85800
7日(土),186,85830,461,935700,135730,722570,77400
8日(日),0,0,0,0,0,0,0
9日(月),294,144731,492,1544010,206100,1241210,96700
10日(火),182,96550,530,965600,133890,831610,100
11日(水),244,109680,450,1165100,163170,933030,68900
12日(木),0,0,0,0,0,0,0
13日(金),294,145339,494,1512490,203410,1269080,40000
14日(土),223,113077,507,1203070,179450,951320,72300
15日(日),0,0,0,0,0,0,0
16日(月),307,148640,484,1562800,196800,1279460,86540
17日(火),176,89770,510,898000,126210,771490,300
18日(水),247,112463,455,1179330,167930,956700,54700
19日(木),0,0,0,0,0,0,0
20日(金),334,148792,445,1605120,227340,1260580,117200
21日(土),176,86758,493,942380,150770,713870,77740
22日(日),0,0,0,0,0,0,0
23日(月),330,171446,520,1730960,283360,1431100,16500
24日(火),210,98374,468,987840,141170,842570,4100
25日(水),256,130188,509,1307980,213840,1083760,10380
26日(木),0,0,0,0,0,0,0
27日(金),366,190724,521,1907240,277560,1626050,3630
28日(土),176,95587,543,958870,133100,813880,11890
29日(日),0,0,0,0,0,0,0
30日(月),0,0,0,0,0,0,0
31日(火),0,0,0,0,0,0,0
総数,5028,2480503,493,25770630,3690010,21084540,996080
平均,251.4,124025.1,24.7,1288531.5,184500.5,1054227.0,49804.0
前月,5088,2346178,461,24957180,3326360,20124550,1506270
前月比,98.8,105.7,107.0,103.3,110.9,104.8,66.1
前年同月,3793,1870861,493,19913610,2617931,16072629,1223050
前年同月比,132.6,132.6,100.0,129.4,141.0,131.2,81.4
