日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(火),164,80673,492,899330,104190,702540,92600
2日(水),174,93263,536,1043030,106500,830020,106510
3日(木),0,0,0,0,0,0,0
4日(金),185,98002,530,1081244,107780,868120,105344
5日(土),156,82985,532,944550,106290,723560,114700
6日(日),0,0,0,0,0,0,0
7日(月),206,118480,575,1287400,132740,1052060,102600
8日(火),191,88207,462,1001670,107540,774530,119600
9日(水),163,70856,435,803560,92120,616440,95000
10日(木),0,0,0,0,0,0,0
11日(金),202,108958,539,1184080,121700,967880,94500
12日(土),161,82447,512,947070,84910,739560,122600
13日(日),0,0,0,0,0,0,0
14日(月),212,116436,549,1286660,127140,1037220,122300
15日(火),160,94885,593,1047630,93900,853230,100500
16日(水),185,91857,497,1024270,109450,809120,105700
17日(木),0,0,0,0,0,0,0
18日(金),215,106932,497,1202420,112770,946170,143480
19日(土),152,64378,424,760380,83030,537370,139980
20日(日),0,0,0,0,0,0,0
21日(月),232,132589,572,1457590,135830,1178370,143390
22日(火),202,108441,537,1205410,121310,963100,121000
23日(水),0,0,0,0,0,0,0
24日(木),0,0,0,0,0,0,0
25日(金),216,109136,505,1187660,125600,965760,96300
26日(土),145,71896,496,842780,92720,636560,113500
27日(日),0,0,0,0,0,0,0
28日(月),223,128405,576,1422870,141100,1144270,137500
29日(火),155,85639,553,960090,95720,760670,103700
30日(水),182,98406,541,1105860,79200,892510,134150
総数,3881,2032871,524,22695554,2281540,17999060,2414954
平均,184.8,96803.4,24.9,1080740.7,108644.8,857098.1,114997.8
前月,3081,1773370,576,18881210,2059980,15667840,1153390
前月比,126.0,114.6,91.0,120.2,110.8,114.9,209.4
前年同月,2324,970976,418,11058660,1265360,8443370,1349930
前年同月比,167.0,209.4,125.4,205.2,180.3,213.2,178.9
