日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(月),230,31,88,111,0,0,13.5,51.7
2日(火),150,13,59,78,0,0,8.7,48.0
3日(水),177,21,60,96,0,0,11.9,45.8
4日(木),0,0,0,0,0,0,0,0
5日(金),195,18,71,106,0,0,9.2,45.6
6日(土),152,22,55,75,0,0,14.5,50.7
7日(日),0,0,0,0,0,0,0,0
8日(月),211,25,55,131,0,0,11.8,37.9
9日(火),150,20,57,73,0,0,13.3,51.3
10日(水),169,17,47,105,0,0,10.1,37.9
11日(木),0,0,0,0,0,0,0,0
12日(金),197,22,60,115,0,0,11.2,41.6
13日(土),158,11,44,103,0,0,7.0,34.8
14日(日),0,0,0,0,0,0,0,0
15日(月),234,23,73,138,0,0,9.8,41.0
16日(火),164,19,60,85,0,0,11.6,48.2
17日(水),165,11,60,94,0,0,6.7,43.0
18日(木),0,0,0,0,0,0,0,0
19日(金),217,31,70,116,0,0,14.3,46.5
20日(土),169,22,56,91,0,0,13.0,46.2
21日(日),0,0,0,0,0,0,0,0
22日(月),250,19,88,143,0,0,7.6,42.8
23日(火),151,23,35,93,0,0,15.2,38.4
24日(水),116,16,39,61,0,0,13.8,47.4
25日(木),0,0,0,0,0,0,0,0
26日(金),318,20,102,196,0,0,6.3,38.4
27日(土),171,17,59,95,0,0,9.9,44.4
28日(日),0,0,0,0,0,0,0,0
29日(月),0,0,0,0,0,0,0,0
30日(火),0,0,0,0,0,0,0,0
31日(水),0,0,0,0,0,0,0,0
総数,3744,401,1238,2105,0,0,10.7,43.8
平均,187.2,20.1,61.9,105.3,0.0,0.0,10.7,43.8
前月,4358,463,1468,2427,0,0,10.6,44.3
前月比,85.9,86.6,84.3,86.7,0.0,0.0,100.8,98.8
前年同月,5028,544,1495,2989,0,0,10.8,40.6
前年同月比,74.5,73.7,82.8,70.4,0.0,0.0,99.0,107.9
