日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(金),169,25,77,67,0,0,14.8,60.4
2日(土),132,20,45,67,0,0,15.2,49.2
3日(日),0,0,0,0,0,0,0,0
4日(月),208,37,70,101,0,0,17.8,51.4
5日(火),153,15,52,86,0,0,9.8,43.8
6日(水),164,25,47,92,0,0,15.2,43.9
7日(木),0,0,0,0,0,0,0,0
8日(金),201,26,58,117,0,0,12.9,41.8
9日(土),145,25,43,77,0,0,17.2,46.9
10日(日),0,0,0,0,0,0,0,0
11日(月),0,0,0,0,0,0,0,0
12日(火),234,47,69,118,0,0,20.1,49.6
13日(水),0,0,0,0,0,0,0,0
14日(木),0,0,0,0,0,0,0,0
15日(金),0,0,0,0,0,0,0,0
16日(土),111,27,28,56,0,0,24.3,49.5
17日(日),0,0,0,0,0,0,0,0
18日(月),178,27,75,76,0,0,15.2,57.3
19日(火),160,27,41,92,0,0,16.9,42.5
20日(水),147,23,51,73,0,0,15.6,50.3
21日(木),0,0,0,0,0,0,0,0
22日(金),188,30,51,107,0,0,16.0,43.1
23日(土),133,14,32,87,0,0,10.5,34.6
24日(日),0,0,0,0,0,0,0,0
25日(月),183,20,71,92,0,0,10.9,49.7
26日(火),136,21,38,77,0,0,15.4,43.4
27日(水),170,29,44,97,0,0,17.1,42.9
28日(木),0,0,0,0,0,0,0,0
29日(金),197,25,71,101,0,0,12.7,48.7
30日(土),124,11,40,73,0,0,8.9,41.1
31日(日),0,0,0,0,0,0,0,0
総数,3133,474,1003,1656,0,0,15.1,47.1
平均,164.9,24.9,52.8,87.2,0.0,0.0,15.1,47.1
前月,3460,523,1075,1862,0,0,15.1,46.2
前月比,90.5,90.6,93.3,88.9,0.0,0.0,100.1,102.1
前年同月,2778,442,677,1659,0,0,15.9,40.3
前年同月比,112.8,107.2,148.2,99.8,0.0,0.0,95.1,117.0
